date,1. open,2. high,3. low,4. close,5. volume
2021-01-05 17:00:00,217.9,217.95,217.81,217.9,2123423.0
2021-01-05 16:00:00,217.65,218.39,216.98,218.01,3553507.0
2021-01-05 15:00:00,216.81,218.07,216.81,217.64,2042694.0
2021-01-05 14:00:00,216.45,216.92,216.1,216.815,1433533.0
2021-01-05 13:00:00,217.36,217.49,216.09,216.445,1752180.0
2021-01-05 12:00:00,216.78,217.74,215.98,217.384,2617707.0
2021-01-05 11:00:00,217.74,218.1,216.2,216.78,2928809.0
2021-01-05 10:00:00,216.26,218.52,215.7,217.74,3452059.0
2021-01-05 09:00:00,217.3041,217.6999,216.15,216.26,57038.0
2021-01-05 08:00:00,217.67,217.67,217.1,217.65,25636.0
2021-01-05 07:00:00,218.0,218.19,217.05,217.41,16957.0
2021-01-05 06:00:00,218.0,218.1,217.72,217.9,5464.0
2021-01-05 05:00:00,218.5,218.5,217.76,218.0,19110.0
2021-01-04 20:00:00,217.4,217.64,217.4,217.64,11006.0
2021-01-04 19:00:00,217.52,217.6,217.35,217.42,3338.0
2021-01-04 18:00:00,217.65,217.65,217.29,217.63,7096.0
2021-01-04 17:00:00,217.69,217.9,217.36,217.6498,3733459.0
2021-01-04 16:00:00,217.23,218.24,216.71,217.81,4863385.0
2021-01-04 15:00:00,216.9556,217.305,216.1913,217.25,2582902.0
2021-01-04 14:00:00,215.59,217.08,215.27,216.96,2842987.0
2021-01-04 13:00:00,216.27,216.57,214.81,215.6,4686846.0
2021-01-04 12:00:00,218.95,219.23,216.14,216.27,4392929.0
2021-01-04 11:00:00,219.81,220.95,218.87,218.93,3802433.0
2021-01-04 10:00:00,222.65,223.0,219.2827,219.79,4034072.0
2021-01-04 09:00:00,222.78,223.24,222.53,222.96,41924.0
2021-01-04 08:00:00,222.83,223.15,222.51,223.1,28864.0
2021-01-04 07:00:00,222.59,222.83,222.28,222.62,15674.0
2021-01-04 06:00:00,223.01,223.29,222.52,222.52,6957.0
2021-01-04 05:00:00,222.75,223.4,222.75,223.15,7036.0
2020-12-31 20:00:00,222.5,222.52,222.43,222.5,9768.0
2020-12-31 19:00:00,222.4,222.5,222.4,222.5,5799.0
2020-12-31 18:00:00,222.5,222.51,222.35,222.4,12713.0
2020-12-31 17:00:00,222.42,222.56,222.3978,222.5,942929.0
2020-12-31 16:00:00,221.06,223.0,221.055,222.37,4543534.0
2020-12-31 15:00:00,220.055,221.1,219.88,221.05,1711959.0
2020-12-31 14:00:00,220.18,220.4065,219.94,220.04,1143462.0
2020-12-31 13:00:00,219.75,220.34,219.75,220.18,1338130.0
2020-12-31 12:00:00,220.65,220.88,219.68,219.74,2210318.0
2020-12-31 11:00:00,221.5,221.83,220.63,220.6516,2030533.0
2020-12-31 10:00:00,221.67,222.5,220.97,221.4932,2229135.0
2020-12-31 09:00:00,222.2619,222.28,221.48,221.67,27875.0
2020-12-31 08:00:00,222.05,222.11,221.69,221.88,8375.0
2020-12-31 07:00:00,222.35,222.35,222.35,222.35,111.0
2020-12-31 06:00:00,222.54,222.68,222.54,222.68,538.0
2020-12-31 05:00:00,221.9,222.45,221.85,222.45,841.0
2020-12-30 20:00:00,222.0,222.1,221.8,221.85,12206.0
2020-12-30 19:00:00,221.63,221.99,221.62,221.75,4666.0
2020-12-30 18:00:00,221.72,221.75,221.63,221.63,146942.0
2020-12-30 17:00:00,221.68,221.75,221.5373,221.75,777728.0
2020-12-30 16:00:00,222.21,222.29,221.47,221.68,3915261.0
2020-12-30 15:00:00,222.68,222.74,222.08,222.211,1672537.0
2020-12-30 14:00:00,222.71,223.055,222.54,222.68,1442200.0
2020-12-30 13:00:00,222.5221,222.72,222.32,222.7166,1529396.0
2020-12-30 12:00:00,223.02,223.0993,222.31,222.53,1781506.0
2020-12-30 11:00:00,223.25,223.32,222.3,223.029,2845184.0
2020-12-30 10:00:00,225.14,225.63,222.88,223.2545,2801313.0
2020-12-30 09:00:00,224.8499,225.09,224.6,224.92,39820.0
2020-12-30 08:00:00,224.77,224.9,224.5,224.82,23079.0
2020-12-30 07:00:00,224.86,224.87,224.83,224.83,1610.0
2020-12-30 06:00:00,225.0,225.0,224.97,224.97,1750.0
2020-12-30 05:00:00,224.72,225.0,224.72,224.72,1002.0
2020-12-29 20:00:00,224.29,224.29,224.15,224.15,11219.0
2020-12-29 19:00:00,224.24,224.49,224.19,224.29,50891.0
2020-12-29 18:00:00,224.24,224.24,224.04,224.15,8364.0
2020-12-29 17:00:00,224.15,224.48,224.0,224.0,387771.0
2020-12-29 16:00:00,224.16,224.75,223.83,224.29,2625324.0
2020-12-29 15:00:00,224.49,224.54,223.77,224.17,1287915.0
2020-12-29 14:00:00,224.33,224.67,223.9703,224.48,1415123.0
2020-12-29 13:00:00,225.42,225.45,223.58,224.34,2660288.0
2020-12-29 12:00:00,225.88,226.19,225.13,225.4,2128422.0
2020-12-29 11:00:00,225.7941,226.1179,224.87,225.8799,2492743.0
2020-12-29 10:00:00,225.7,227.18,225.41,225.745,2723471.0
2020-12-29 09:00:00,225.8,225.875,225.58,225.68,21401.0
2020-12-29 08:00:00,225.71,225.84,225.6,225.7,10813.0
2020-12-29 07:00:00,225.86,225.86,225.6,225.7,4167.0
2020-12-29 06:00:00,225.95,225.95,225.8,225.88,4024.0
2020-12-29 05:00:00,226.0,226.0,225.72,225.95,1383.0
2020-12-28 20:00:00,225.07,225.15,224.99,225.15,10361.0
2020-12-28 19:00:00,224.89,225.0,224.71,225.0,12085.0
2020-12-28 18:00:00,224.9,224.96,224.72,224.89,108306.0
2020-12-28 17:00:00,224.96,224.96,224.72,224.8,253606.0
2020-12-28 16:00:00,225.63,225.66,224.865,224.96,2810961.0
2020-12-28 15:00:00,225.495,225.88,225.19,225.64,1839497.0
2020-12-28 14:00:00,225.23,225.69,225.02,225.5,1386567.0
2020-12-28 13:00:00,225.17,225.4,224.83,225.24,1556449.0
2020-12-28 12:00:00,225.93,225.95,224.81,225.165,2203515.0
2020-12-28 11:00:00,223.75,226.03,223.02,225.9221,3828803.0
2020-12-28 10:00:00,224.45,224.55,223.15,223.74,1945219.0
2020-12-28 09:00:00,224.21,224.5,222.2,224.4,41803.0
2020-12-28 08:00:00,223.0,224.36,223.0,224.36,32901.0
2020-12-28 07:00:00,223.96,223.98,222.9,223.3,8324.0
2020-12-28 06:00:00,223.96,223.97,223.77,223.95,2944.0
2020-12-28 05:00:00,223.44,223.98,223.44,223.98,2076.0
2020-12-24 17:00:00,222.5,222.55,222.45,222.51,3441.0
2020-12-24 14:00:00,222.75,222.75,222.75,222.75,761985.0
2020-12-24 13:00:00,221.679,223.5,221.44,222.71,3359715.0
2020-12-24 12:00:00,222.11,222.4,221.2687,221.67,1866469.0
2020-12-24 11:00:00,222.07,223.61,222.07,222.1101,2605078.0
2020-12-24 10:00:00,221.5,222.945,221.2,222.08,1745934.0
2020-12-24 09:00:00,221.8884,221.8884,220.47,221.57,11198.0
2020-12-24 08:00:00,221.29,221.77,221.29,221.43,3854.0
2020-12-24 06:00:00,221.12,221.12,221.12,221.12,188.0
2020-12-23 20:00:00,221.32,221.44,221.25,221.33,1378.0
2020-12-23 19:00:00,221.36,221.44,221.24,221.3,2388.0
2020-12-23 18:00:00,221.38,221.4,221.02,221.36,74735.0
2020-12-23 17:00:00,220.96,221.47,220.68,221.22,854843.0
2020-12-23 16:00:00,222.42,222.5,220.8,221.02,3714294.0
2020-12-23 15:00:00,222.99,223.0,222.31,222.44,1371254.0
2020-12-23 14:00:00,222.83,223.36,222.7218,222.99,1418633.0
2020-12-23 13:00:00,222.54,223.09,222.34,222.84,1999952.0
2020-12-23 12:00:00,222.46,222.73,221.95,222.5,1846874.0
2020-12-23 11:00:00,222.94,223.36,222.15,222.46,2416834.0
2020-12-23 10:00:00,223.8,223.9,222.08,222.94,2392688.0
2020-12-23 09:00:00,224.145,224.25,223.49,223.8,36348.0
2020-12-23 08:00:00,224.39,224.39,223.9,224.02,14998.0
2020-12-23 07:00:00,224.68,224.68,224.4,224.4,1408.0
2020-12-23 06:00:00,224.7,224.84,224.57,224.8,3291.0
2020-12-23 05:00:00,224.0,224.7,224.0,224.7,1934.0
2020-12-22 20:00:00,223.52,223.52,222.17,222.5,21727.0
2020-12-22 19:00:00,223.39,223.94,223.31,223.64,122776.0
2020-12-22 18:00:00,223.7,223.7,223.3,223.4,21190.0
2020-12-22 17:00:00,223.94,223.95,223.51,223.7,684939.0
2020-12-22 16:00:00,223.27,224.0,222.97,223.97,3198894.0
2020-12-22 15:00:00,224.26,224.4771,223.16,223.27,1746032.0
2020-12-22 14:00:00,224.28,224.58,224.07,224.21,1720610.0
2020-12-22 13:00:00,223.74,224.46,223.66,224.28,1381204.0
2020-12-22 12:00:00,224.1536,224.57,223.12,223.72,2662774.0
2020-12-22 11:00:00,225.305,225.305,223.45,224.16,3558715.0
2020-12-22 10:00:00,222.86,225.63,221.85,225.3,4796552.0
2020-12-22 09:00:00,223.5124,223.75,222.36,222.95,81273.0
2020-12-22 08:00:00,223.04,223.72,222.94,223.31,35947.0
2020-12-22 07:00:00,222.72,223.35,222.7,223.0,4484.0
2020-12-22 06:00:00,222.8,222.86,222.7,222.7,1016.0
2020-12-22 05:00:00,222.4,223.22,222.4,222.85,6121.0
2020-12-21 20:00:00,223.1,223.15,222.75,222.8,20786.0
2020-12-21 19:00:00,222.84,224.0,222.65,222.9,48943.0
2020-12-21 18:00:00,222.5,222.95,222.41,222.87,412420.0
2020-12-21 17:00:00,222.59,222.75,222.38,222.45,3128905.0
2020-12-21 16:00:00,222.96,223.12,221.85,222.57,5044164.0
2020-12-21 15:00:00,223.91,224.0,222.85,222.96,3279144.0
2020-12-21 14:00:00,222.73,224.0,222.44,223.91,4153670.0
2020-12-21 13:00:00,220.14,222.72,220.0,222.7121,4429896.0
2020-12-21 12:00:00,218.605,220.4379,218.55,220.14,3232839.0
2020-12-21 11:00:00,218.55,219.24,217.2801,218.6044,4728035.0
2020-12-21 10:00:00,217.6,220.24,217.1,218.57,4495299.0
2020-12-21 09:00:00,216.98,217.83,216.5,217.49,179354.0
